id;transaction_date;transaction_description;transaction_amount;location_id;transaction_type_id;expense_id
1;2019-12-08;Granite;88874;1;1;1
2;2019-12-08;SCSI Jewelery monitoring;93158;2;2;2
3;2019-12-08;Gorgeous ROI implement;25975;3;3;3
4;2019-12-08;Sleek Granite Car Integration Handcrafted;89447;4;4;4
5;2019-12-08;backing up Cambridgeshire Motorway;59240;5;5;5
6;2019-12-07;Louisiana payment Mayotte;86449;6;6;6
7;2019-12-08;EXE optical deposit;85058;7;7;7
8;2019-12-08;Fish next-generation Quality-focused;93009;8;8;8
9;2019-12-08;Credit Card Account;75271;9;9;9
10;2019-12-08;SCSI;96131;10;10;10
