id;transaction_date;transaction_description;transaction_amount;location_id;transaction_type_id;customer_id
1;2019-12-07;Outdoors backing up;12886;1;1;1
2;2019-12-07;Reduced Corporate;112;2;2;2
3;2019-12-07;synthesizing Bedfordshire;638;3;3;3
4;2019-12-08;Generic;32643;4;4;4
5;2019-12-07;deposit exuding;63400;5;5;5
6;2019-12-08;synthesizing Wooden;28334;6;6;6
7;2019-12-07;Italy;96299;7;7;7
8;2019-12-07;benchmark Sausages;75369;8;8;8
9;2019-12-08;Directives Baht Tasty Plastic Keyboard;70817;9;9;9
10;2019-12-07;hard drive;47357;10;10;10
