id;transaction_date;transaction_description;transaction_amount;location_id;transaction_type_id;expense_id
1;2019-12-07;Intuitive;94273;1;1;1
2;2019-12-07;Phased connecting;12033;2;2;2
3;2019-12-08;Shirt;22048;3;3;3
4;2019-12-08;Accounts;82620;4;4;4
5;2019-12-08;Generic Frozen Bike EXE Communications;99490;5;5;5
6;2019-12-08;foreground;51524;6;6;6
7;2019-12-07;Zimbabwe Dollar Salad;81583;7;7;7
8;2019-12-08;Savings Account;74787;8;8;8
9;2019-12-08;Personal Loan Account;58008;9;9;9
10;2019-12-07;Trail;39116;10;10;10
