id;company_code;company_name;company_reg_number;rating
1;alarm challenge Agent;systems Keyboard Clothing;Sleek Clothing;82295
2;blue innovate Officer;SQL programming;Handmade copy;98806
3;Internal withdrawal;end-to-end;transmitting FTP;52543
4;Realigned;bypassing;program;42011
5;National;Extension calculate withdrawal;Louisiana bus;80619
6;parsing Proactive;Soft;Incredible open architecture Movies;68166
7;Pizza;Vision-oriented bypassing;Generic;34038
8;XML orange sticky;Shoes;systems;75924
9;Human Right-sized neural;invoice;invoice;87422
10;Toys Computer deploy;Flats AI;Cotton web services;80235
