id;customer_code;customer_name;customer_credit_limit;is_active;rating;location_id
1;Plastic Wall Rubber;Washington generate;81176;true;65647;1
2;Steel;Unbranded Savings Account;9501;false;37599;2
3;Japan maximize;Response;24069;true;12150;3
4;tan TCP invoice;New Taiwan Dollar;31692;true;87926;4
5;Universal Egypt invoice;Wall;84199;true;72849;5
6;override deposit;intranet;75318;true;26933;6
7;Armenia panel Rustic;bandwidth parsing tan;50585;false;84070;7
8;interface Saint Lucia;generate Money Market Account;10593;true;15156;8
9;Refined New York PNG;Keyboard Overpass;933;true;24667;9
10;circuit Engineer Intelligent;SAS deposit;31092;true;74234;10
