id;document_prefix;document_postfix;current_number;document_id;location_id
1;Tasty navigate didactic;payment schemas Industrial;15615;1;1
2;bus withdrawal Toys;Enterprise-wide;19611;2;2
3;Avon Checking Account impactful;Salad payment;23818;3;3
4;Licensed Visionary pixel;neural Markets Branding;14108;4;4
5;empower;Senior;1300;5;5
6;Handmade fuchsia;Wooden;87644;6;6
7;withdrawal circuit;generating frictionless solution-oriented;37969;7;7
8;Alaska solution-oriented;best-of-breed generate;36275;8;8
9;SQL lavender;transmit Wooden COM;48743;9;9
10;Central digital supply-chains;Bedfordshire;74168;10;10
