id;expense_code;expense_name;expense_limit;is_active;location_id
1;mint green Maine;strategic Clothing Toys;83169;true;1
2;Denar;productivity Brand systematic;42965;false;2
3;generate Estates Squares;View Buckinghamshire;13347;true;3
4;Handmade Fresh Shoes;users driver bypass;15890;false;4
5;Wooden unleash;withdrawal Solutions Gorgeous Steel Car;28218;false;5
6;content-based;Forward;24954;true;6
7;unleash;Summit compress;6536;false;7
8;TCP Ergonomic Rubber Salad;Plastic Gambia;41109;true;8
9;Unbranded Ameliorated;payment Liaison Vermont;93682;false;9
10;navigating;modular sensor Strategist;25653;false;10
