id;grn_number;grn_date;po_number;supplier_id;location_id
1;alliance Licensed Plaza;2019-12-07;Cambridgeshire;1;1
2;Regional;2019-12-08;systemic;2;2
3;Handmade Savings Account Manager;2019-12-07;Central Polarised;3;3
4;back-end Roads bypass;2019-12-08;Customer-focused;4;4
5;Bond Markets Units European Composite Unit (EURCO) connecting generate;2019-12-08;ADP;5;5
6;Hungary Configurable;2019-12-08;leverage Toys software;6;6
7;Incredible;2019-12-07;Total;7;7
8;Investment Account Indian Rupee;2019-12-07;Berkshire Awesome;8;8
9;pixel Pennsylvania;2019-12-07;Connecticut empower;9;9
10;customized payment;2019-12-07;dot-com;10;10
