id;addon_code;addon_name;addon_description;is_active;allow_substract;addon_price;substract_price;image;image_content_type;location_id
1;revolutionize;panel Sleek Intelligent;Maine PCI SAS;false;true;90769;98600;../fake-data/blob/hipster.png;image/png;1
2;navigate repurpose;Buckinghamshire;Oklahoma communities;true;false;11119;43445;../fake-data/blob/hipster.png;image/png;2
3;Advanced grow;Handmade Wooden Cheese Fresh;input Naira;false;true;40022;37487;../fake-data/blob/hipster.png;image/png;3
4;asymmetric EXE;web services;Industrial Designer Incredible Fresh Car;true;true;99296;91911;../fake-data/blob/hipster.png;image/png;4
5;Optional;Associate Central African Republic Savings Account;heuristic Orchestrator Naira;false;true;73710;4544;../fake-data/blob/hipster.png;image/png;5
6;web-enabled Brand Regional;Generic B2B;olive;false;false;35335;22939;../fake-data/blob/hipster.png;image/png;6
7;analyzing holistic;Architect;Beauty dynamic schemas;true;true;27095;16261;../fake-data/blob/hipster.png;image/png;7
8;Senior;Usability models New Mexico;markets Accountability EXE;false;false;2636;41125;../fake-data/blob/hipster.png;image/png;8
9;transmit Ways;Shirt Credit Card Account disintermediate;transmitting Tennessee Practical Steel Shirt;false;false;1367;5637;../fake-data/blob/hipster.png;image/png;9
10;SMS;Zimbabwe parse Customer;input Accounts;true;false;24734;24108;../fake-data/blob/hipster.png;image/png;10
