id;transaction_date;transaction_description;transaction_qty;transaction_balance;location_id;item_id
1;2019-12-08;Concrete;95405;27473;1;1
2;2019-12-08;Synergized;67170;75699;2;2
3;2019-12-08;global;11355;2218;3;3
4;2019-12-08;Kyrgyz Republic transmit;52016;30777;4;4
5;2019-12-07;Vietnam California PNG;40348;58995;5;5
6;2019-12-08;Grocery transmit;62030;63936;6;6
7;2019-12-08;cyan Rubber Industrial;35058;60808;7;7
8;2019-12-08;mesh partnerships;90415;72639;8;8
9;2019-12-08;Berkshire solid state;39654;29795;9;9
10;2019-12-08;SMS Data;14707;45934;10;10
