id;job_code;job_description;job_start_date;job_end_date;job_amount;status_id;location_id;customer_id
1;Credit Card Account;navigate;2019-12-08;2019-12-08;72821;1;1;1
2;web-enabled invoice withdrawal;bypassing optical;2019-12-08;2019-12-08;50819;2;2;2
3;Argentine Peso;Kentucky Algerian Dinar Clothing;2019-12-08;2019-12-07;22649;3;3;3
4;deposit Sausages;disintermediate Cambridgeshire hacking;2019-12-08;2019-12-08;73521;4;4;4
5;azure;SMS Enhanced;2019-12-08;2019-12-08;81722;5;5;5
6;Macao Equatorial Guinea Vision-oriented;Agent;2019-12-08;2019-12-07;88263;6;6;6
7;pink even-keeled;bus Internal AI;2019-12-07;2019-12-07;64203;7;7;7
8;Unbranded Cheese Dynamic;Alabama transform;2019-12-07;2019-12-08;97366;8;8;8
9;clear-thinking;Latvia;2019-12-08;2019-12-08;65196;9;9;9
10;Devolved driver Networked;Fish;2019-12-08;2019-12-08;74417;10;10;10
