id;job_status_code;job_status_description;is_active;location_id
1;users dot-com;North Dakota Cambridgeshire;false;1
2;sensor;Alaska;true;2
3;Intelligent Frozen Sausages Villages;Human;false;3
4;Automotive Tactics architectures;Wisconsin Facilitator Incredible;false;4
5;fuchsia eco-centric;Pants Maryland;true;5
6;UIC-Franc Arkansas Intelligent;Zambian Kwacha intuitive;false;6
7;system-worthy portal;Belize Dollar Sudanese Pound real-time;false;7
8;redundant;Synergistic Personal Loan Account Sleek;false;8
9;Auto Loan Account olive;Yen;true;9
10;Human;Tools California;false;10
