id;location_code;location_name;is_active;company_id
1;Investment Account Rubber Legacy;Gloves Cambridgeshire revolutionize;false;1
2;leading-edge Sleek Steel Hat;Versatile;false;2
3;parse Cotton;task-force Cambridgeshire;false;3
4;Refined;Electronics Kids;true;4
5;intuitive streamline;digital Ferry;false;5
6;Producer Generic Metal Gloves;communities Keyboard Rustic;true;6
7;attitude-oriented;Saudi Riyal;false;7
8;Borders Manager;Polarised orange Soap;true;8
9;navigating panel;AI Ports pink;false;9
10;supply-chains hacking;drive Supervisor Inverse;false;10
