id;menu_name;menu_url;is_active
1;input invoice calculate;Philippine Peso parsing Triple-buffered;false
2;magenta Associate;Argentine Peso Handcrafted Rubber Sausages Officer;true
3;Unions algorithm;Leone;false
4;Direct;experiences online program;false
5;Harbors South Georgia and the South Sandwich Islands deposit;Money Market Account Organic;false
6;Unbranded Tugrik;models streamline;true
7;haptic;bluetooth policy;true
8;ADP Personal Loan Account;web-readiness;false
9;Supervisor Outdoors sky blue;Factors primary;true
10;proactive;Fantastic Sleek Granite Tuna Utah;false
