id;transaction_date;transaction_description;transaction_amount_dr;transaction_amount_cr;transaction_balance;location_id;transaction_type_id
1;2019-12-07;sky blue Steel;26974;98669;5708;1;1
2;2019-12-08;Upgradable Small Metal Computer;22470;45219;18001;2;2
3;2019-12-07;artificial intelligence;50723;58467;4157;3;3
4;2019-12-08;recontextualize;47989;96511;68596;4;4
5;2019-12-08;Paradigm;63911;97309;86791;5;5
6;2019-12-08;Open-architected Lebanon;34265;66686;53224;6;6
7;2019-12-08;Music;30792;14354;70468;7;7
8;2019-12-07;feed;16238;96991;18834;8;8
9;2019-12-08;Swiss Franc communities XSS;17714;25530;69262;9;9
10;2019-12-08;Representative whiteboard Health;24414;61784;83087;10;10
