id;bin_number;bin_description
1;Maryland Tanzanian Shilling Lights;e-enable Plaza intranet
2;convergence Idaho customized;synthesize Bahrain
3;Pre-emptive Bouvet Island (Bouvetoya) experiences;Credit Card Account
4;Belize Dollar Bacon;Investment Account Rwanda Customer
5;Liaison copy program;hack Electronics Oklahoma
6;Cambridgeshire navigate Licensed;Fantastic indexing
7;Investment Account;haptic Shoes
8;models;driver payment Mexican Peso Mexican Unidad de Inversion (UDI)
9;port Money Market Account;Chips National Idaho
10;vortals value-added;Salad Connecticut
