id;supplier_code;supplier_name;supplier_credit_limit;is_active;rating;location_id
1;generating Savings Account Indian Rupee;haptic Macedonia;522;true;76099;1
2;Sports back up ivory;navigate Croatian Kuna hack;84197;false;47031;2
3;Cambridgeshire Cotton deploy;application SSL;59304;false;39152;3
4;synergies Costa Rican Colon;Kids;16688;false;18131;4
5;evolve engage RSS;payment Ergonomic Rubber Bike;56148;true;56066;5
6;Investment Account;Auto Loan Account Money Market Account Sports;32210;false;63649;6
7;Car;out-of-the-box mobile program;78861;true;51726;7
8;portals Wooden;system;23585;false;37142;8
9;Generic Soft Fish;Producer Paradigm deposit;42124;true;63617;9
10;digital Metal;Assistant navigate;73998;true;95031;10
