id;transactionype_code;transaction_type;is_active
1;Personal Loan Account;primary;true
2;Berkshire;intermediate;true
3;Cambridgeshire asynchronous;Avon;false
4;customer loyalty alarm Station;Investment Account RSS;false
5;Interactions Frozen Licensed;throughput Trinidad and Tobago Dollar;false
6;Extended;Program Triple-buffered online;true
7;Borders e-enable;deposit Personal Loan Account;false
8;Cambridgeshire Computer;Analyst bandwidth Small Steel Computer;true
9;deposit primary Small;Optimization;true
10;web-enabled workforce;Consultant Branding;true
