id;user_perm_key;user_perm_description;is_active;user_id
1;Philippine Peso incentivize;Metal;true;1
2;Liaison Tonga;Lari;true;2
3;programming;Soft Missouri;false;3
4;India;Buckinghamshire microchip;false;4
5;Wooden;Future;true;5
6;Money Market Account Credit Card Account withdrawal;Virginia;true;6
7;seize generate;Fantastic Wooden Chips microchip;false;7
8;Auto Loan Account;Fantastic Fresh Ball;false;8
9;International card;West Virginia Keys;true;9
10;Research sensor black;Equatorial Guinea;false;10
